CompanyName,LineOfBusiness,Currency,Year,LossIncurredRatio,DevelopmentMonth
Howden,GL-np,EUR,2010,6.416784931760431,12.0
Howden,GL-np,EUR,2010,13.919147930434287,24.0
Howden,GL-np,EUR,2010,19.561111847425238,36.0
Howden,GL-np,EUR,2010,25.580517594236046,48.0
Howden,GL-np,EUR,2010,38.400206497210235,60.0
Howden,GL-np,EUR,2010,53.23821994394283,72.0
Howden,GL-np,EUR,2010,56.5279677271634,84.0
Howden,GL-np,EUR,2010,60.315829183121615,96.0
Howden,GL-np,EUR,2010,61.41247747279949,108.0
Howden,GL-np,EUR,2010,63.81458661746281,120.0
Howden,GL-np,EUR,2010,65.40344636123177,132.0
Howden,GL-np,EUR,2010,66.08184905008268,144.0
Howden,GL-np,EUR,2010,,
Howden,GL-np,EUR,2011,4.3750939403498235,12.0
Howden,GL-np,EUR,2011,7.273417047039042,24.0
Howden,GL-np,EUR,2011,15.469906282695867,36.0
Howden,GL-np,EUR,2011,25.14454796382864,48.0
Howden,GL-np,EUR,2011,33.75165199026288,60.0
Howden,GL-np,EUR,2011,42.02124192386827,72.0
Howden,GL-np,EUR,2011,48.567078857262544,84.0
Howden,GL-np,EUR,2011,55.7105565493625,96.0
Howden,GL-np,EUR,2011,61.53453984613657,108.0
Howden,GL-np,EUR,2011,65.03200750340527,120.0
Howden,GL-np,EUR,2011,66.85020884062624,132.0
Howden,GL-np,EUR,2011,,144.0
Howden,GL-np,EUR,2011,,
Howden,GL-np,EUR,2012,1.7950109210799572,12.0
Howden,GL-np,EUR,2012,9.063498171667431,24.0
Howden,GL-np,EUR,2012,16.121668527286843,36.0
Howden,GL-np,EUR,2012,24.429368199579375,48.0
Howden,GL-np,EUR,2012,36.70474490531272,60.0
Howden,GL-np,EUR,2012,43.4270753213455,72.0
Howden,GL-np,EUR,2012,53.29415771208299,84.0
Howden,GL-np,EUR,2012,55.89772874405835,96.0
Howden,GL-np,EUR,2012,58.18909882354744,108.0
Howden,GL-np,EUR,2012,58.901132712506985,120.0
Howden,GL-np,EUR,2012,,132.0
Howden,GL-np,EUR,2012,,144.0
Howden,GL-np,EUR,2012,,
Howden,GL-np,EUR,2013,3.853787581461819,12.0
Howden,GL-np,EUR,2013,11.585418811665543,24.0
Howden,GL-np,EUR,2013,20.990327149146434,36.0
Howden,GL-np,EUR,2013,27.120063556476975,48.0
Howden,GL-np,EUR,2013,33.89107175249046,60.0
Howden,GL-np,EUR,2013,37.82947589079475,72.0
Howden,GL-np,EUR,2013,42.554365990209114,84.0
Howden,GL-np,EUR,2013,46.083115240893754,96.0
Howden,GL-np,EUR,2013,47.91948161376778,108.0
Howden,GL-np,EUR,2013,,120.0
Howden,GL-np,EUR,2013,,132.0
Howden,GL-np,EUR,2013,,144.0
Howden,GL-np,EUR,2013,,
Howden,GL-np,EUR,2014,4.645793171117893,12.0
Howden,GL-np,EUR,2014,13.94999370776476,24.0
Howden,GL-np,EUR,2014,24.159605469550225,36.0
Howden,GL-np,EUR,2014,33.13091205924162,48.0
Howden,GL-np,EUR,2014,39.45652158200727,60.0
Howden,GL-np,EUR,2014,45.858944216891906,72.0
Howden,GL-np,EUR,2014,50.53745055991386,84.0
Howden,GL-np,EUR,2014,53.84226934859713,96.0
Howden,GL-np,EUR,2014,,108.0
Howden,GL-np,EUR,2014,,120.0
Howden,GL-np,EUR,2014,,132.0
Howden,GL-np,EUR,2014,,144.0
Howden,GL-np,EUR,2014,,
Howden,GL-np,EUR,2015,4.679056592600669,12.0
Howden,GL-np,EUR,2015,17.104406426661782,24.0
Howden,GL-np,EUR,2015,29.323127780504105,36.0
Howden,GL-np,EUR,2015,39.52869381378795,48.0
Howden,GL-np,EUR,2015,47.45073627811532,60.0
Howden,GL-np,EUR,2015,53.260562251105355,72.0
Howden,GL-np,EUR,2015,57.42310008720012,84.0
Howden,GL-np,EUR,2015,,96.0
Howden,GL-np,EUR,2015,,108.0
Howden,GL-np,EUR,2015,,120.0
Howden,GL-np,EUR,2015,,132.0
Howden,GL-np,EUR,2015,,144.0
Howden,GL-np,EUR,2015,,
Howden,GL-np,EUR,2016,5.465805271823259,12.0
Howden,GL-np,EUR,2016,16.518712123759858,24.0
Howden,GL-np,EUR,2016,28.10470444786526,36.0
Howden,GL-np,EUR,2016,40.72473525907176,48.0
Howden,GL-np,EUR,2016,53.83031364913906,60.0
Howden,GL-np,EUR,2016,64.26665300358846,72.0
Howden,GL-np,EUR,2016,,84.0
Howden,GL-np,EUR,2016,,96.0
Howden,GL-np,EUR,2016,,108.0
Howden,GL-np,EUR,2016,,120.0
Howden,GL-np,EUR,2016,,132.0
Howden,GL-np,EUR,2016,,144.0
Howden,GL-np,EUR,2016,,
Howden,GL-np,EUR,2017,3.607923257847059,12.0
Howden,GL-np,EUR,2017,13.450320954040599,24.0
Howden,GL-np,EUR,2017,31.581645497609305,36.0
Howden,GL-np,EUR,2017,42.186194586437445,48.0
Howden,GL-np,EUR,2017,53.28152404677775,60.0
Howden,GL-np,EUR,2017,,72.0
Howden,GL-np,EUR,2017,,84.0
Howden,GL-np,EUR,2017,,96.0
Howden,GL-np,EUR,2017,,108.0
Howden,GL-np,EUR,2017,,120.0
Howden,GL-np,EUR,2017,,132.0
Howden,GL-np,EUR,2017,,144.0
Howden,GL-np,EUR,2017,,
Howden,GL-np,EUR,2018,4.209593013189063,12.0
Howden,GL-np,EUR,2018,15.082720772462741,24.0
Howden,GL-np,EUR,2018,27.025155546474583,36.0
Howden,GL-np,EUR,2018,35.62961517099908,48.0
Howden,GL-np,EUR,2018,,60.0
Howden,GL-np,EUR,2018,,72.0
Howden,GL-np,EUR,2018,,84.0
Howden,GL-np,EUR,2018,,96.0
Howden,GL-np,EUR,2018,,108.0
Howden,GL-np,EUR,2018,,120.0
Howden,GL-np,EUR,2018,,132.0
Howden,GL-np,EUR,2018,,144.0
Howden,GL-np,EUR,2018,,
Howden,GL-np,EUR,2019,3.101718799085489,12.0
Howden,GL-np,EUR,2019,12.771878224646436,24.0
Howden,GL-np,EUR,2019,22.614632607778237,36.0
Howden,GL-np,EUR,2019,,48.0
Howden,GL-np,EUR,2019,,60.0
Howden,GL-np,EUR,2019,,72.0
Howden,GL-np,EUR,2019,,84.0
Howden,GL-np,EUR,2019,,96.0
Howden,GL-np,EUR,2019,,108.0
Howden,GL-np,EUR,2019,,120.0
Howden,GL-np,EUR,2019,,132.0
Howden,GL-np,EUR,2019,,144.0
Howden,GL-np,EUR,2019,,
Howden,GL-np,EUR,2020,2.4819586404766105,12.0
Howden,GL-np,EUR,2020,10.88296710921666,24.0
Howden,GL-np,EUR,2020,,36.0
Howden,GL-np,EUR,2020,,48.0
Howden,GL-np,EUR,2020,,60.0
Howden,GL-np,EUR,2020,,72.0
Howden,GL-np,EUR,2020,,84.0
Howden,GL-np,EUR,2020,,96.0
Howden,GL-np,EUR,2020,,108.0
Howden,GL-np,EUR,2020,,120.0
Howden,GL-np,EUR,2020,,132.0
Howden,GL-np,EUR,2020,,144.0
Howden,GL-np,EUR,2020,,
Howden,GL-np,EUR,2021,3.8564156340155904,12.0
Howden,GL-np,EUR,2021,,24.0
Howden,GL-np,EUR,2021,,36.0
Howden,GL-np,EUR,2021,,48.0
Howden,GL-np,EUR,2021,,60.0
Howden,GL-np,EUR,2021,,72.0
Howden,GL-np,EUR,2021,,84.0
Howden,GL-np,EUR,2021,,96.0
Howden,GL-np,EUR,2021,,108.0
Howden,GL-np,EUR,2021,,120.0
Howden,GL-np,EUR,2021,,132.0
Howden,GL-np,EUR,2021,,144.0
Howden,GL-np,EUR,2021,,
Howden,GL-np,EUR,2022,,12.0
Howden,GL-np,EUR,2022,,24.0
Howden,GL-np,EUR,2022,,36.0
Howden,GL-np,EUR,2022,,48.0
Howden,GL-np,EUR,2022,,60.0
Howden,GL-np,EUR,2022,,72.0
Howden,GL-np,EUR,2022,,84.0
Howden,GL-np,EUR,2022,,96.0
Howden,GL-np,EUR,2022,,108.0
Howden,GL-np,EUR,2022,,120.0
Howden,GL-np,EUR,2022,,132.0
Howden,GL-np,EUR,2022,,144.0
Howden,GL-np,EUR,2022,,
Howden,MA-np,EUR,2010,10.392326342314684,12.0
Howden,MA-np,EUR,2010,23.78947459184744,24.0
Howden,MA-np,EUR,2010,34.72262166522035,36.0
Howden,MA-np,EUR,2010,41.41274195267512,48.0
Howden,MA-np,EUR,2010,46.50813579286606,60.0
Howden,MA-np,EUR,2010,48.51173093417837,72.0
Howden,MA-np,EUR,2010,48.67601182459404,84.0
Howden,MA-np,EUR,2010,51.48923272673323,96.0
Howden,MA-np,EUR,2010,52.54072857397224,108.0
Howden,MA-np,EUR,2010,53.051706970414116,120.0
Howden,MA-np,EUR,2010,53.25175280922689,132.0
Howden,MA-np,EUR,2010,53.63854594789448,144.0
Howden,MA-np,EUR,2010,,
Howden,MA-np,EUR,2011,14.393993703077815,12.0
Howden,MA-np,EUR,2011,31.784167792083736,24.0
Howden,MA-np,EUR,2011,40.5867682003479,36.0
Howden,MA-np,EUR,2011,47.46111029115478,48.0
Howden,MA-np,EUR,2011,52.37010637803504,60.0
Howden,MA-np,EUR,2011,54.538717690261464,72.0
Howden,MA-np,EUR,2011,57.20502199498747,84.0
Howden,MA-np,EUR,2011,59.7444235903694,96.0
Howden,MA-np,EUR,2011,60.48854393843227,108.0
Howden,MA-np,EUR,2011,60.449847635328034,120.0
Howden,MA-np,EUR,2011,61.1247242331066,132.0
Howden,MA-np,EUR,2011,,144.0
Howden,MA-np,EUR,2011,,
Howden,MA-np,EUR,2012,12.206925745702044,12.0
Howden,MA-np,EUR,2012,28.364861694777233,24.0
Howden,MA-np,EUR,2012,35.54367602788468,36.0
Howden,MA-np,EUR,2012,43.61420176587668,48.0
Howden,MA-np,EUR,2012,47.54032793853332,60.0
Howden,MA-np,EUR,2012,56.05508074912395,72.0
Howden,MA-np,EUR,2012,58.12116373406603,84.0
Howden,MA-np,EUR,2012,57.81083059330266,96.0
Howden,MA-np,EUR,2012,57.785960000389004,108.0
Howden,MA-np,EUR,2012,58.63651686791069,120.0
Howden,MA-np,EUR,2012,,132.0
Howden,MA-np,EUR,2012,,144.0
Howden,MA-np,EUR,2012,,
Howden,MA-np,EUR,2013,43.556838944592634,12.0
Howden,MA-np,EUR,2013,60.5496584472237,24.0
Howden,MA-np,EUR,2013,71.11746840142827,36.0
Howden,MA-np,EUR,2013,75.8531098088756,48.0
Howden,MA-np,EUR,2013,89.3612859888996,60.0
Howden,MA-np,EUR,2013,93.62770350286208,72.0
Howden,MA-np,EUR,2013,90.04054800969308,84.0
Howden,MA-np,EUR,2013,88.47303787541634,96.0
Howden,MA-np,EUR,2013,89.67934893026812,108.0
Howden,MA-np,EUR,2013,,120.0
Howden,MA-np,EUR,2013,,132.0
Howden,MA-np,EUR,2013,,144.0
Howden,MA-np,EUR,2013,,
Howden,MA-np,EUR,2014,16.17792610390906,12.0
Howden,MA-np,EUR,2014,33.86581561834139,24.0
Howden,MA-np,EUR,2014,42.18747881161467,36.0
Howden,MA-np,EUR,2014,61.262400250503056,48.0
Howden,MA-np,EUR,2014,65.22253706840573,60.0
Howden,MA-np,EUR,2014,63.557080088322614,72.0
Howden,MA-np,EUR,2014,63.27672436769917,84.0
Howden,MA-np,EUR,2014,64.59188955755407,96.0
Howden,MA-np,EUR,2014,,108.0
Howden,MA-np,EUR,2014,,120.0
Howden,MA-np,EUR,2014,,132.0
Howden,MA-np,EUR,2014,,144.0
Howden,MA-np,EUR,2014,,
Howden,MA-np,EUR,2015,13.844564335236967,12.0
Howden,MA-np,EUR,2015,32.92653552492278,24.0
Howden,MA-np,EUR,2015,63.077140029660505,36.0
Howden,MA-np,EUR,2015,70.13821663078589,48.0
Howden,MA-np,EUR,2015,68.09642536272545,60.0
Howden,MA-np,EUR,2015,67.21379149390182,72.0
Howden,MA-np,EUR,2015,68.26439956662537,84.0
Howden,MA-np,EUR,2015,,96.0
Howden,MA-np,EUR,2015,,108.0
Howden,MA-np,EUR,2015,,120.0
Howden,MA-np,EUR,2015,,132.0
Howden,MA-np,EUR,2015,,144.0
Howden,MA-np,EUR,2015,,
Howden,MA-np,EUR,2016,12.677338649409768,12.0
Howden,MA-np,EUR,2016,45.374422546303414,24.0
Howden,MA-np,EUR,2016,57.45284477227685,36.0
Howden,MA-np,EUR,2016,60.216735185578926,48.0
Howden,MA-np,EUR,2016,65.58243969514135,60.0
Howden,MA-np,EUR,2016,68.83138163318799,72.0
Howden,MA-np,EUR,2016,,84.0
Howden,MA-np,EUR,2016,,96.0
Howden,MA-np,EUR,2016,,108.0
Howden,MA-np,EUR,2016,,120.0
Howden,MA-np,EUR,2016,,132.0
Howden,MA-np,EUR,2016,,144.0
Howden,MA-np,EUR,2016,,
Howden,MA-np,EUR,2017,19.931935675550612,12.0
Howden,MA-np,EUR,2017,48.6560835218824,24.0
Howden,MA-np,EUR,2017,56.758241261799725,36.0
Howden,MA-np,EUR,2017,61.528346465275575,48.0
Howden,MA-np,EUR,2017,68.53851654678516,60.0
Howden,MA-np,EUR,2017,,72.0
Howden,MA-np,EUR,2017,,84.0
Howden,MA-np,EUR,2017,,96.0
Howden,MA-np,EUR,2017,,108.0
Howden,MA-np,EUR,2017,,120.0
Howden,MA-np,EUR,2017,,132.0
Howden,MA-np,EUR,2017,,144.0
Howden,MA-np,EUR,2017,,
Howden,MA-np,EUR,2018,12.680397405548224,12.0
Howden,MA-np,EUR,2018,36.02561903120596,24.0
Howden,MA-np,EUR,2018,51.320311053117884,36.0
Howden,MA-np,EUR,2018,60.99100577385768,48.0
Howden,MA-np,EUR,2018,,60.0
Howden,MA-np,EUR,2018,,72.0
Howden,MA-np,EUR,2018,,84.0
Howden,MA-np,EUR,2018,,96.0
Howden,MA-np,EUR,2018,,108.0
Howden,MA-np,EUR,2018,,120.0
Howden,MA-np,EUR,2018,,132.0
Howden,MA-np,EUR,2018,,144.0
Howden,MA-np,EUR,2018,,
Howden,MA-np,EUR,2019,13.538302209723355,12.0
Howden,MA-np,EUR,2019,34.36516560806783,24.0
Howden,MA-np,EUR,2019,47.25562898689405,36.0
Howden,MA-np,EUR,2019,,48.0
Howden,MA-np,EUR,2019,,60.0
Howden,MA-np,EUR,2019,,72.0
Howden,MA-np,EUR,2019,,84.0
Howden,MA-np,EUR,2019,,96.0
Howden,MA-np,EUR,2019,,108.0
Howden,MA-np,EUR,2019,,120.0
Howden,MA-np,EUR,2019,,132.0
Howden,MA-np,EUR,2019,,144.0
Howden,MA-np,EUR,2019,,
Howden,MA-np,EUR,2020,9.859076277281345,12.0
Howden,MA-np,EUR,2020,29.923249617291773,24.0
Howden,MA-np,EUR,2020,,36.0
Howden,MA-np,EUR,2020,,48.0
Howden,MA-np,EUR,2020,,60.0
Howden,MA-np,EUR,2020,,72.0
Howden,MA-np,EUR,2020,,84.0
Howden,MA-np,EUR,2020,,96.0
Howden,MA-np,EUR,2020,,108.0
Howden,MA-np,EUR,2020,,120.0
Howden,MA-np,EUR,2020,,132.0
Howden,MA-np,EUR,2020,,144.0
Howden,MA-np,EUR,2020,,
Howden,MA-np,EUR,2021,21.456272277771117,12.0
Howden,MA-np,EUR,2021,,24.0
Howden,MA-np,EUR,2021,,36.0
Howden,MA-np,EUR,2021,,48.0
Howden,MA-np,EUR,2021,,60.0
Howden,MA-np,EUR,2021,,72.0
Howden,MA-np,EUR,2021,,84.0
Howden,MA-np,EUR,2021,,96.0
Howden,MA-np,EUR,2021,,108.0
Howden,MA-np,EUR,2021,,120.0
Howden,MA-np,EUR,2021,,132.0
Howden,MA-np,EUR,2021,,144.0
Howden,MA-np,EUR,2021,,
Howden,MA-np,EUR,2022,,12.0
Howden,MA-np,EUR,2022,,24.0
Howden,MA-np,EUR,2022,,36.0
Howden,MA-np,EUR,2022,,48.0
Howden,MA-np,EUR,2022,,60.0
Howden,MA-np,EUR,2022,,72.0
Howden,MA-np,EUR,2022,,84.0
Howden,MA-np,EUR,2022,,96.0
Howden,MA-np,EUR,2022,,108.0
Howden,MA-np,EUR,2022,,120.0
Howden,MA-np,EUR,2022,,132.0
Howden,MA-np,EUR,2022,,144.0
Howden,MA-np,EUR,2022,,
